RT60 data saved by REW V5.40 Beta 103
Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540. Timing signal peak level -44.7 dBFS, measurement signal peak level -42.4 dBFS
Dated: Nov 19, 2025 12:07:17 PM
Measurement: L Nov 19
Sweep level: -12.0 dBFS
Response measured over: 20.1 to 19,999.9 Hz
Peak value: 0.0010763188 at index 48000
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.0000018509334618 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), C20 (dB), D50 (%), TS (s)

50, 1/3, 0.869, -0.868, 0.364, -0.989, 0.404, -0.993, 0.255, -0.995, -5.000, -16.000, 0.000, Forward, 6.09, 14.87, -2.46, 80.2, 0.093
63, 1/3, 0.626, -0.965, 0.712, -0.986, 0.000, 0.000, 0.701, -0.990, -5.000, -30.000, 0.000, Forward, 7.48, 11.54, 3.24, 84.9, 0.071
80, 1/3, 1.055, -0.912, 0.310, -0.976, 0.511, -0.964, 0.228, -0.998, -5.000, -20.000, 0.000, Forward, 0.23, 5.63, -2.74, 51.3, 0.083
100, 1/3, 0.453, -0.968, 0.434, -0.990, 0.440, -0.992, 0.451, -0.994, -5.000, -32.000, 0.000, Forward, 8.14, 12.46, 2.92, 86.7, 0.050
125, 1/3, 0.580, -0.981, 0.496, -0.995, 0.466, -0.997, 0.456, -0.998, -5.000, -40.000, 0.000, Forward, 7.79, 10.99, 4.17, 85.8, 0.047
160, 1/3, 0.474, -0.966, 0.312, -0.982, 0.361, -0.987, 0.372, -0.992, -5.000, -48.000, 0.000, Forward, 5.99, 15.08, -1.83, 79.9, 0.048
200, 1/3, 0.520, -0.962, 0.466, -0.981, 0.481, -0.993, 0.482, -0.997, -5.000, -48.000, 0.000, Forward, 6.40, 11.28, 3.85, 81.4, 0.037
250, 1/3, 0.670, -0.964, 0.533, -0.978, 0.543, -0.994, 0.543, -0.996, -5.000, -40.000, 0.000, Forward, 0.41, 7.60, -1.16, 52.4, 0.055
315, 1/3, 0.285, -0.949, 0.575, -0.989, 0.565, -0.994, 0.567, -0.997, -5.000, -46.000, 0.000, Forward, 9.90, 12.51, 7.18, 90.7, 0.024
400, 1/3, 0.359, -0.953, 0.543, -0.998, 0.476, -0.995, 0.489, -0.998, -5.000, -52.000, 0.000, Forward, 9.30, 12.79, 5.78, 89.5, 0.023
500, 1/3, 0.545, -0.901, 0.435, -0.989, 0.461, -0.995, 0.485, -0.996, -5.000, -41.000, 0.000, Forward, 6.14, 14.79, 4.99, 80.4, 0.024
630, 1/3, 0.422, -0.988, 0.534, -0.995, 0.491, -0.996, 0.491, -0.996, -5.000, -35.000, 0.000, Forward, 8.32, 11.21, 2.52, 87.2, 0.027
800, 1/3, 0.402, -0.970, 0.525, -0.994, 0.531, -0.997, 0.535, -0.998, -5.000, -36.000, 0.000, Forward, 9.16, 11.01, 3.73, 89.2, 0.022
1000, 1/3, 0.559, -0.983, 0.603, -0.997, 0.622, -0.997, 0.600, -0.998, -5.000, -48.000, 0.000, Forward, 6.65, 10.32, 2.91, 82.2, 0.028
1250, 1/3, 0.478, -0.873, 0.580, -0.998, 0.584, -0.999, 0.585, -0.999, -5.000, -39.000, 0.000, Forward, 9.45, 12.09, 6.27, 89.8, 0.016
1600, 1/3, 0.407, -0.964, 0.540, -0.999, 0.561, -0.998, 0.540, -0.999, -5.000, -25.000, 0.000, Forward, 9.35, 12.42, 4.85, 89.6, 0.020
2000, 1/3, 0.350, -0.939, 0.607, -0.998, 0.598, -0.998, 0.576, -0.999, -5.000, -53.000, 0.000, Forward, 10.38, 13.64, 6.49, 91.6, 0.015
2500, 1/3, 0.297, -0.872, 0.540, -0.995, 0.539, -0.998, 0.559, -0.999, -5.000, -52.000, 0.000, Forward, 12.18, 15.67, 7.48, 94.3, 0.010
3150, 1/3, 0.395, -0.938, 0.513, -0.999, 0.514, -1.000, 0.515, -1.000, -5.000, -36.000, 0.000, Forward, 10.66, 14.35, 5.72, 92.1, 0.014
4000, 1/3, 0.470, -0.980, 0.516, -0.998, 0.535, -0.999, 0.538, -0.999, -5.000, -37.000, 0.000, Forward, 8.95, 13.02, 4.19, 88.7, 0.018
5000, 1/3, 0.394, -0.984, 0.480, -0.999, 0.511, -0.999, 0.480, -0.999, -5.000, -25.000, 0.000, Forward, 9.90, 14.28, 4.67, 90.7, 0.016
6300, 1/3, 0.273, -0.939, 0.459, -0.996, 0.470, -0.999, 0.479, -0.999, -5.000, -44.000, 0.000, Forward, 12.80, 16.00, 6.99, 95.0, 0.010
8000, 1/3, 0.370, -0.835, 0.412, -0.997, 0.425, -0.999, 0.425, -0.999, -5.000, -42.000, 0.000, Forward, 13.54, 18.01, 7.38, 95.8, 0.008
10000, 1/3, 0.235, -0.743, 0.370, -0.995, 0.394, -0.998, 0.398, -0.999, -5.000, -41.000, 0.000, Forward, 16.13, 21.00, 9.74, 97.6, 0.005

full, 1/3, 0.358, -0.961, 0.468, -0.999, 0.504, -0.999, 0.482, -0.999, -5.000, -29.000, 0.000, Forward, 12.47, 16.44, 7.39, 94.6, 0.009

