RT60 data saved by REW V5.40 Beta 103
Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540. Timing signal peak level -42.0 dBFS, measurement signal peak level -42.3 dBFS
Dated: Nov 19, 2025 12:06:48 PM
Measurement: L Nov 19
Sweep level: -12.0 dBFS
Response measured over: 20.1 to 19,999.9 Hz
Peak value: 0.0010756811 at index 48000
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.0000022811325857 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), C20 (dB), D50 (%), TS (s)

50, 1/3, 0.840, -0.885, 1.190, -0.975, 0.000, 0.000, 0.322, -0.992, -5.000, -12.000, 0.000, Forward, 5.85, 11.46, -2.36, 79.4, 0.097
63, 1/3, 0.661, -0.968, 0.605, -0.985, 0.000, 0.000, 0.585, -0.992, -5.000, -29.000, 0.000, Forward, 7.12, 10.78, 2.97, 83.7, 0.071
80, 1/3, 1.057, -0.908, 0.335, -0.980, 0.397, -0.986, 0.267, -0.998, -5.000, -15.000, 0.000, Forward, -0.00, 5.53, -3.02, 50.0, 0.084
100, 1/3, 3.000, -0.848, 2.887, -0.900, 1.979, -0.964, 4.747, -0.977, -5.000, -14.000, 0.000, Forward, 4.19, 6.01, 0.76, 72.4, 0.115
125, 1/3, 0.585, -0.980, 0.000, 0.000, 0.000, 0.000, 0.551, -0.997, -5.000, -23.000, 0.000, Forward, 7.69, 10.63, 4.18, 85.4, 0.047
160, 1/3, 0.477, -0.966, 0.332, -0.977, 0.375, -0.983, 0.249, -0.991, -5.000, -20.000, 0.000, Forward, 5.88, 14.99, -1.87, 79.5, 0.049
200, 1/3, 0.526, -0.961, 0.486, -0.988, 0.532, -0.993, 0.527, -0.996, -5.000, -45.000, 0.000, Forward, 6.30, 11.12, 3.86, 81.0, 0.038
250, 1/3, 0.689, -0.966, 0.630, -0.971, 0.632, -0.982, 0.382, -0.990, -5.000, -18.000, 0.000, Forward, 0.31, 7.23, -1.21, 51.8, 0.056
315, 1/3, 0.275, -0.951, 0.567, -0.990, 0.542, -0.995, 0.529, -0.995, -5.000, -34.000, 0.000, Forward, 10.03, 12.71, 7.25, 91.0, 0.024
400, 1/3, 0.354, -0.953, 0.549, -0.998, 0.497, -0.996, 0.549, -0.998, -5.000, -25.000, 0.000, Forward, 9.36, 12.93, 5.88, 89.6, 0.023
500, 1/3, 0.554, -0.906, 0.433, -0.989, 0.450, -0.996, 0.452, -0.997, -5.000, -40.000, 0.000, Forward, 5.89, 14.57, 4.74, 79.5, 0.025
630, 1/3, 0.422, -0.987, 0.538, -0.995, 0.480, -0.994, 0.470, -0.996, -5.000, -41.000, 0.000, Forward, 8.39, 11.46, 2.66, 87.3, 0.026
800, 1/3, 0.387, -0.971, 0.532, -0.994, 0.529, -0.998, 0.537, -0.999, -5.000, -43.000, 0.000, Forward, 9.28, 11.24, 3.77, 89.4, 0.022
1000, 1/3, 0.565, -0.985, 0.605, -0.997, 0.625, -0.997, 0.624, -0.998, -5.000, -41.000, 0.000, Forward, 6.45, 10.19, 2.85, 81.5, 0.029
1250, 1/3, 0.484, -0.871, 0.575, -0.998, 0.584, -0.999, 0.574, -0.999, -5.000, -43.000, 0.000, Forward, 9.35, 12.05, 6.35, 89.6, 0.016
1600, 1/3, 0.414, -0.962, 0.532, -0.999, 0.551, -0.999, 0.546, -0.999, -5.000, -45.000, 0.000, Forward, 9.33, 12.41, 4.87, 89.5, 0.020
2000, 1/3, 0.356, -0.935, 0.613, -0.998, 0.599, -0.998, 0.574, -0.999, -5.000, -50.000, 0.000, Forward, 10.33, 13.67, 6.49, 91.5, 0.015
2500, 1/3, 0.279, -0.862, 0.528, -0.996, 0.540, -0.998, 0.553, -0.999, -5.000, -50.000, 0.000, Forward, 12.14, 15.49, 7.67, 94.2, 0.010
3150, 1/3, 0.373, -0.928, 0.509, -0.999, 0.522, -1.000, 0.529, -1.000, -5.000, -49.000, 0.000, Forward, 10.89, 14.49, 6.21, 92.5, 0.013
4000, 1/3, 0.453, -0.982, 0.522, -0.998, 0.534, -0.999, 0.534, -0.999, -5.000, -37.000, 0.000, Forward, 8.96, 12.90, 4.08, 88.7, 0.018
5000, 1/3, 0.412, -0.981, 0.480, -0.999, 0.510, -0.999, 0.480, -0.999, -5.000, -25.000, 0.000, Forward, 9.80, 14.01, 4.72, 90.5, 0.016
6300, 1/3, 0.270, -0.942, 0.465, -0.995, 0.464, -0.999, 0.495, -0.999, -5.000, -53.000, 0.000, Forward, 12.87, 15.83, 6.95, 95.1, 0.010
8000, 1/3, 0.372, -0.859, 0.408, -0.998, 0.422, -0.999, 0.424, -0.999, -5.000, -40.000, 0.000, Forward, 13.18, 17.81, 7.23, 95.4, 0.008
10000, 1/3, 0.315, -0.744, 0.375, -0.996, 0.396, -0.998, 0.402, -0.999, -5.000, -41.000, 0.000, Forward, 15.89, 20.44, 9.41, 97.5, 0.005

full, 1/3, 0.359, -0.962, 0.472, -0.999, 0.511, -0.998, 0.482, -0.999, -5.000, -28.000, 0.000, Forward, 12.35, 16.22, 7.33, 94.5, 0.009

