RT60 data saved by REW V5.40 Beta 103
Note: measurement2
Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540. Timing signal peak level -45.5 dBFS, measurement signal peak level -43.8 dBFS
Dated: Nov 19, 2025 1:50:15 PM
Measurement: L 5 ft. from source Nov 19
Sweep level: -12.0 dBFS
Response measured over: 20.1 to 19,999.9 Hz
Peak value: 7.4078166E-4 at index 47995
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -0.9997859936245714 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), C20 (dB), D50 (%), TS (s)

50, 1/3, 0.782, -0.892, 0.474, -0.988, 0.448, -0.994, 0.427, -0.996, -5.000, -41.000, 0.000, Forward, 9.36, 16.22, 0.13, 89.6, 0.085
63, 1/3, 0.621, -0.883, 0.361, -0.991, 0.370, -0.992, 0.342, -0.994, -5.000, -24.000, 0.000, Forward, 8.54, 14.23, -0.38, 87.7, 0.070
80, 1/3, 0.679, -0.922, 0.287, -0.987, 0.000, 0.000, 0.382, -0.998, -5.000, -13.000, 0.000, Forward, 4.99, 11.72, -4.72, 75.9, 0.079
100, 1/3, 0.408, -0.936, 0.561, -0.955, 0.489, -0.978, 0.406, -0.985, -5.000, -13.000, 0.000, Forward, 10.00, 15.90, 1.34, 90.9, 0.052
125, 1/3, 0.465, -0.974, 0.422, -0.991, 0.000, 0.000, 0.408, -0.993, -5.000, -31.000, 0.000, Forward, 8.42, 11.34, 0.98, 87.4, 0.050
160, 1/3, 0.425, -0.926, 0.419, -0.976, 0.406, -0.991, 0.107, -0.995, -5.000, -13.000, 0.000, Forward, 12.78, 17.18, -0.26, 95.0, 0.039
200, 1/3, 0.424, -0.986, 0.336, -0.989, 0.444, -0.986, 0.452, -0.992, -5.000, -50.000, 0.000, Forward, 7.49, 14.68, 1.08, 84.9, 0.040
250, 1/3, 0.332, -0.986, 0.400, -0.975, 0.367, -0.987, 0.374, -0.995, -5.000, -52.000, 0.000, Forward, 9.07, 13.48, 1.34, 89.0, 0.036
315, 1/3, 0.442, -0.988, 0.519, -0.970, 0.420, -0.986, 0.420, -0.995, -5.000, -50.000, 0.000, Forward, 6.92, 13.39, 1.10, 83.1, 0.035
400, 1/3, 0.536, -0.974, 0.456, -0.986, 0.481, -0.993, 0.472, -0.997, -5.000, -50.000, 0.000, Forward, 5.56, 10.19, 2.31, 78.2, 0.033
500, 1/3, 0.451, -0.988, 0.408, -0.993, 0.427, -0.996, 0.410, -0.997, -5.000, -33.000, 0.000, Forward, 7.59, 11.32, 2.59, 85.2, 0.028
630, 1/3, 0.497, -0.982, 0.541, -0.994, 0.544, -0.998, 0.547, -0.998, -5.000, -38.000, 0.000, Forward, 5.42, 10.59, -1.63, 77.7, 0.041
800, 1/3, 0.423, -0.972, 0.592, -0.992, 0.565, -0.996, 0.579, -0.998, -5.000, -50.000, 0.000, Forward, 8.01, 12.29, 1.45, 86.3, 0.029
1000, 1/3, 0.518, -0.991, 0.543, -0.993, 0.540, -0.997, 0.574, -0.998, -5.000, -50.000, 0.000, Forward, 4.51, 10.10, 0.36, 73.9, 0.037
1250, 1/3, 0.541, -0.984, 0.552, -0.997, 0.557, -0.999, 0.550, -0.999, -5.000, -34.000, 0.000, Forward, 6.62, 10.20, 2.36, 82.1, 0.028
1600, 1/3, 0.472, -0.977, 0.545, -0.997, 0.568, -0.999, 0.574, -0.999, -5.000, -37.000, 0.000, Forward, 7.03, 10.77, 2.81, 83.4, 0.026
2000, 1/3, 0.498, -0.991, 0.516, -0.996, 0.513, -0.998, 0.524, -0.999, -5.000, -39.000, 0.000, Forward, 6.58, 11.01, 2.71, 82.0, 0.026
2500, 1/3, 0.447, -0.969, 0.500, -0.998, 0.537, -0.998, 0.551, -0.999, -5.000, -50.000, 0.000, Forward, 9.19, 12.84, 4.79, 89.2, 0.017
3150, 1/3, 0.406, -0.974, 0.510, -0.998, 0.518, -0.999, 0.526, -0.999, -5.000, -41.000, 0.000, Forward, 9.35, 13.72, 5.20, 89.6, 0.016
4000, 1/3, 0.460, -0.989, 0.484, -0.999, 0.523, -0.998, 0.492, -0.999, -5.000, -28.000, 0.000, Forward, 8.27, 13.04, 3.65, 87.0, 0.020
5000, 1/3, 0.422, -0.986, 0.493, -1.000, 0.500, -1.000, 0.493, -1.000, -5.000, -31.000, 0.000, Forward, 8.75, 12.98, 3.82, 88.2, 0.019
6300, 1/3, 0.492, -0.984, 0.468, -0.999, 0.462, -1.000, 0.462, -1.000, -5.000, -39.000, 0.000, Forward, 8.38, 12.80, 4.48, 87.3, 0.018
8000, 1/3, 0.408, -0.968, 0.420, -0.999, 0.429, -1.000, 0.432, -1.000, -5.000, -39.000, 0.000, Forward, 10.37, 14.99, 6.06, 91.6, 0.012
10000, 1/3, 0.393, -0.955, 0.398, -0.999, 0.394, -1.000, 0.396, -1.000, -5.000, -31.000, 0.000, Forward, 12.51, 16.83, 6.86, 94.7, 0.010

full, 1/3, 0.426, -0.994, 0.463, -1.000, 0.493, -0.999, 0.463, -1.000, -5.000, -25.000, 0.000, Forward, 9.88, 14.24, 5.18, 90.7, 0.015

